[PC: C000] OPCODE 4C | A:00 X:00 Y:00 P:24 SP:FD | JMP $C5F5
[PC: C78B] OPCODE 24 | A:FF X:00 Y:00 P:E4 SP:FB | BIT $01
[PC: C78D] OPCODE 50 | A:FF X:00 Y:00 P:E4 SP:FB | BVC #$03
[PC: C78F] OPCODE 4C | A:FF X:00 Y:00 P:E4 SP:FB | JMP $C796
[PC: C796] OPCODE EA | A:FF X:00 Y:00 P:E4 SP:FB | NOP
[PC: C797] OPCODE A9 | A:FF X:00 Y:00 P:E4 SP:FB | LDA #$00
[PC: C799] OPCODE 85 | A:00 X:00 Y:00 P:66 SP:FB | STA $01
[PC: C79B] OPCODE 24 | A:00 X:00 Y:00 P:66 SP:FB | BIT $01
[PC: C79D] OPCODE 50 | A:00 X:00 Y:00 P:26 SP:FB | BVC #$04
[PC: C7A3] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C7A4] OPCODE 24 | A:00 X:00 Y:00 P:26 SP:FB | BIT $01
[PC: C7A6] OPCODE 70 | A:00 X:00 Y:00 P:26 SP:FB | BVS #$03
[PC: C7A8] OPCODE 4C | A:00 X:00 Y:00 P:26 SP:FB | JMP $C7AF
[PC: C7AF] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C7B0] OPCODE A9 | A:00 X:00 Y:00 P:26 SP:FB | LDA #$00
[PC: C7B2] OPCODE 10 | A:00 X:00 Y:00 P:26 SP:FB | BPL #$04
[PC: C7B8] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C7B9] OPCODE A9 | A:00 X:00 Y:00 P:26 SP:FB | LDA #$80
[PC: C7BB] OPCODE 10 | A:80 X:00 Y:00 P:A4 SP:FB | BPL #$03
[PC: C7BD] OPCODE 4C | A:80 X:00 Y:00 P:A4 SP:FB | JMP $C7D9
[PC: C7D9] OPCODE EA | A:80 X:00 Y:00 P:A4 SP:FB | NOP
[PC: C7DA] OPCODE 60 | A:80 X:00 Y:00 P:A4 SP:FB | RTS
[PC: C600] OPCODE 20 | A:80 X:00 Y:00 P:A4 SP:FD | JSR $C7DB
[PC: C7DB] OPCODE EA | A:80 X:00 Y:00 P:A4 SP:FB | NOP
[PC: C7DC] OPCODE A9 | A:80 X:00 Y:00 P:A4 SP:FB | LDA #$FF
[PC: C7DE] OPCODE 85 | A:FF X:00 Y:00 P:A4 SP:FB | STA $01
[PC: C7E0] OPCODE 24 | A:FF X:00 Y:00 P:A4 SP:FB | BIT $01
[PC: C7E2] OPCODE A9 | A:FF X:00 Y:00 P:E4 SP:FB | LDA #$00
[PC: C7E4] OPCODE 38 | A:00 X:00 Y:00 P:66 SP:FB | SEC
[PC: C7E5] OPCODE 78 | A:00 X:00 Y:00 P:67 SP:FB | SEI
[PC: C7E6] OPCODE F8 | A:00 X:00 Y:00 P:67 SP:FB | SED
[PC: C7E7] OPCODE 08 | A:00 X:00 Y:00 P:6F SP:FB | PHP
[PC: C7E8] OPCODE 68 | A:00 X:00 Y:00 P:6F SP:FA | PLA
[PC: C7E9] OPCODE 29 | A:7F X:00 Y:00 P:6D SP:FB | AND #$EF
[PC: C7EB] OPCODE C9 | A:6F X:00 Y:00 P:6D SP:FB | CMP #$6F
[PC: C7ED] OPCODE F0 | A:6F X:00 Y:00 P:6F SP:FB | BEQ #$04
[PC: C7F3] OPCODE EA | A:6F X:00 Y:00 P:6F SP:FB | NOP
[PC: C7F4] OPCODE A9 | A:6F X:00 Y:00 P:6F SP:FB | LDA #$40
[PC: C7F6] OPCODE 85 | A:40 X:00 Y:00 P:6D SP:FB | STA $01
[PC: C7F8] OPCODE 24 | A:40 X:00 Y:00 P:6D SP:FB | BIT $01
[PC: C7FA] OPCODE D8 | A:40 X:00 Y:00 P:6D SP:FB | CLD
[PC: C7FB] OPCODE A9 | A:40 X:00 Y:00 P:65 SP:FB | LDA #$10
[PC: C7FD] OPCODE 18 | A:10 X:00 Y:00 P:65 SP:FB | CLC
[PC: C7FE] OPCODE 08 | A:10 X:00 Y:00 P:64 SP:FB | PHP
[PC: C7FF] OPCODE 68 | A:10 X:00 Y:00 P:64 SP:FA | PLA
[PC: C800] OPCODE 29 | A:74 X:00 Y:00 P:64 SP:FB | AND #$EF
[PC: C802] OPCODE C9 | A:64 X:00 Y:00 P:64 SP:FB | CMP #$64
[PC: C804] OPCODE F0 | A:64 X:00 Y:00 P:67 SP:FB | BEQ #$04
[PC: C80A] OPCODE EA | A:64 X:00 Y:00 P:67 SP:FB | NOP
[PC: C80B] OPCODE A9 | A:64 X:00 Y:00 P:67 SP:FB | LDA #$80
[PC: C80D] OPCODE 85 | A:80 X:00 Y:00 P:E5 SP:FB | STA $01
[PC: C80F] OPCODE 24 | A:80 X:00 Y:00 P:E5 SP:FB | BIT $01
[PC: C811] OPCODE F8 | A:80 X:00 Y:00 P:A5 SP:FB | SED
[PC: C812] OPCODE A9 | A:80 X:00 Y:00 P:AD SP:FB | LDA #$00
[PC: C814] OPCODE 38 | A:00 X:00 Y:00 P:2F SP:FB | SEC
[PC: C815] OPCODE 08 | A:00 X:00 Y:00 P:2F SP:FB | PHP
[PC: C816] OPCODE 68 | A:00 X:00 Y:00 P:2F SP:FA | PLA
[PC: C817] OPCODE 29 | A:3F X:00 Y:00 P:2D SP:FB | AND #$EF
[PC: C819] OPCODE C9 | A:2F X:00 Y:00 P:2D SP:FB | CMP #$2F
[PC: C81B] OPCODE F0 | A:2F X:00 Y:00 P:2F SP:FB | BEQ #$04
[PC: C821] OPCODE EA | A:2F X:00 Y:00 P:2F SP:FB | NOP
[PC: C822] OPCODE A9 | A:2F X:00 Y:00 P:2F SP:FB | LDA #$FF
[PC: C824] OPCODE 48 | A:FF X:00 Y:00 P:AD SP:FB | PHA
[PC: C825] OPCODE 28 | A:FF X:00 Y:00 P:AD SP:FA | PLP
[PC: C826] OPCODE D0 | A:FF X:00 Y:00 P:EF SP:FB | BNE #$09
[PC: C828] OPCODE 10 | A:FF X:00 Y:00 P:EF SP:FB | BPL #$07
[PC: C82A] OPCODE 50 | A:FF X:00 Y:00 P:EF SP:FB | BVC #$05
[PC: C82C] OPCODE 90 | A:FF X:00 Y:00 P:EF SP:FB | BCC #$03
[PC: C82E] OPCODE 4C | A:FF X:00 Y:00 P:EF SP:FB | JMP $C835
[PC: C835] OPCODE EA | A:FF X:00 Y:00 P:EF SP:FB | NOP
[PC: C836] OPCODE A9 | A:FF X:00 Y:00 P:EF SP:FB | LDA #$04
[PC: C838] OPCODE 48 | A:04 X:00 Y:00 P:6D SP:FB | PHA
[PC: C839] OPCODE 28 | A:04 X:00 Y:00 P:6D SP:FA | PLP
[PC: C83A] OPCODE F0 | A:04 X:00 Y:00 P:24 SP:FB | BEQ #$09
[PC: C83C] OPCODE 30 | A:04 X:00 Y:00 P:24 SP:FB | BMI #$07
[PC: C83E] OPCODE 70 | A:04 X:00 Y:00 P:24 SP:FB | BVS #$05
[PC: C840] OPCODE B0 | A:04 X:00 Y:00 P:24 SP:FB | BCS #$03
[PC: C842] OPCODE 4C | A:04 X:00 Y:00 P:24 SP:FB | JMP $C849
[PC: C849] OPCODE EA | A:04 X:00 Y:00 P:24 SP:FB | NOP
[PC: C84A] OPCODE F8 | A:04 X:00 Y:00 P:24 SP:FB | SED
[PC: C84B] OPCODE A9 | A:04 X:00 Y:00 P:2C SP:FB | LDA #$FF
[PC: C84D] OPCODE 85 | A:FF X:00 Y:00 P:AC SP:FB | STA $01
[PC: C84F] OPCODE 24 | A:FF X:00 Y:00 P:AC SP:FB | BIT $01
[PC: C851] OPCODE 18 | A:FF X:00 Y:00 P:EC SP:FB | CLC
[PC: C852] OPCODE A9 | A:FF X:00 Y:00 P:EC SP:FB | LDA #$00
[PC: C854] OPCODE 48 | A:00 X:00 Y:00 P:6E SP:FB | PHA
[PC: C855] OPCODE A9 | A:00 X:00 Y:00 P:6E SP:FA | LDA #$FF
[PC: C857] OPCODE 68 | A:FF X:00 Y:00 P:EC SP:FA | PLA
[PC: C858] OPCODE D0 | A:00 X:00 Y:00 P:6E SP:FB | BNE #$09
[PC: C85A] OPCODE 30 | A:00 X:00 Y:00 P:6E SP:FB | BMI #$07
[PC: C85C] OPCODE 50 | A:00 X:00 Y:00 P:6E SP:FB | BVC #$05
[PC: C85E] OPCODE B0 | A:00 X:00 Y:00 P:6E SP:FB | BCS #$03
[PC: C860] OPCODE 4C | A:00 X:00 Y:00 P:6E SP:FB | JMP $C867
[PC: C867] OPCODE EA | A:00 X:00 Y:00 P:6E SP:FB | NOP
[PC: C868] OPCODE A9 | A:00 X:00 Y:00 P:6E SP:FB | LDA #$00
[PC: C86A] OPCODE 85 | A:00 X:00 Y:00 P:6E SP:FB | STA $01
[PC: C86C] OPCODE 24 | A:00 X:00 Y:00 P:6E SP:FB | BIT $01
[PC: C86E] OPCODE 38 | A:00 X:00 Y:00 P:2E SP:FB | SEC
[PC: C86F] OPCODE A9 | A:00 X:00 Y:00 P:2F SP:FB | LDA #$FF
[PC: C871] OPCODE 48 | A:FF X:00 Y:00 P:AD SP:FB | PHA
[PC: C872] OPCODE A9 | A:FF X:00 Y:00 P:AD SP:FA | LDA #$00
[PC: C874] OPCODE 68 | A:00 X:00 Y:00 P:2F SP:FA | PLA
[PC: C875] OPCODE F0 | A:FF X:00 Y:00 P:AD SP:FB | BEQ #$09
[PC: C877] OPCODE 10 | A:FF X:00 Y:00 P:AD SP:FB | BPL #$07
[PC: C879] OPCODE 70 | A:FF X:00 Y:00 P:AD SP:FB | BVS #$05
[PC: C87B] OPCODE 90 | A:FF X:00 Y:00 P:AD SP:FB | BCC #$03
[PC: C87D] OPCODE 4C | A:FF X:00 Y:00 P:AD SP:FB | JMP $C884
[PC: C884] OPCODE 60 | A:FF X:00 Y:00 P:AD SP:FB | RTS
[PC: C603] OPCODE 20 | A:FF X:00 Y:00 P:AD SP:FD | JSR $C885
[PC: C885] OPCODE EA | A:FF X:00 Y:00 P:AD SP:FB | NOP
[PC: C886] OPCODE 18 | A:FF X:00 Y:00 P:AD SP:FB | CLC
[PC: C887] OPCODE A9 | A:FF X:00 Y:00 P:AC SP:FB | LDA #$FF
[PC: C889] OPCODE 85 | A:FF X:00 Y:00 P:AC SP:FB | STA $01
[PC: C88B] OPCODE 24 | A:FF X:00 Y:00 P:AC SP:FB | BIT $01
[PC: C88D] OPCODE A9 | A:FF X:00 Y:00 P:EC SP:FB | LDA #$55
[PC: C88F] OPCODE 09 | A:55 X:00 Y:00 P:6C SP:FB | ORA #$AA
[PC: C891] OPCODE B0 | A:FF X:00 Y:00 P:EC SP:FB | BCS #$0B
[PC: C893] OPCODE 10 | A:FF X:00 Y:00 P:EC SP:FB | BPL #$09
[PC: C895] OPCODE C9 | A:FF X:00 Y:00 P:EC SP:FB | CMP #$FF
[PC: C897] OPCODE D0 | A:FF X:00 Y:00 P:6F SP:FB | BNE #$05
[PC: C899] OPCODE 50 | A:FF X:00 Y:00 P:6F SP:FB | BVC #$03
[PC: C89B] OPCODE 4C | A:FF X:00 Y:00 P:6F SP:FB | JMP $C8A2
[PC: C8A2] OPCODE EA | A:FF X:00 Y:00 P:6F SP:FB | NOP
[PC: C8A3] OPCODE 38 | A:FF X:00 Y:00 P:6F SP:FB | SEC
[PC: C8A4] OPCODE B8 | A:FF X:00 Y:00 P:6F SP:FB | CLV
[PC: C8A5] OPCODE A9 | A:FF X:00 Y:00 P:2F SP:FB | LDA #$00
[PC: C8A7] OPCODE 09 | A:00 X:00 Y:00 P:2F SP:FB | ORA #$00
[PC: C8A9] OPCODE D0 | A:00 X:00 Y:00 P:2F SP:FB | BNE #$09
[PC: C8AB] OPCODE 70 | A:00 X:00 Y:00 P:2F SP:FB | BVS #$07
[PC: C8AD] OPCODE 90 | A:00 X:00 Y:00 P:2F SP:FB | BCC #$05
[PC: C8AF] OPCODE 30 | A:00 X:00 Y:00 P:2F SP:FB | BMI #$03
[PC: C8B1] OPCODE 4C | A:00 X:00 Y:00 P:2F SP:FB | JMP $C8B8
[PC: C8B8] OPCODE EA | A:00 X:00 Y:00 P:2F SP:FB | NOP
[PC: C8B9] OPCODE 18 | A:00 X:00 Y:00 P:2F SP:FB | CLC
[PC: C8BA] OPCODE 24 | A:00 X:00 Y:00 P:2E SP:FB | BIT $01
[PC: C8BC] OPCODE A9 | A:00 X:00 Y:00 P:EE SP:FB | LDA #$55
[PC: C8BE] OPCODE 29 | A:55 X:00 Y:00 P:6C SP:FB | AND #$AA
[PC: C8C0] OPCODE D0 | A:00 X:00 Y:00 P:6E SP:FB | BNE #$09
[PC: C8C2] OPCODE 50 | A:00 X:00 Y:00 P:6E SP:FB | BVC #$07
[PC: C8C4] OPCODE B0 | A:00 X:00 Y:00 P:6E SP:FB | BCS #$05
[PC: C8C6] OPCODE 30 | A:00 X:00 Y:00 P:6E SP:FB | BMI #$03
[PC: C8C8] OPCODE 4C | A:00 X:00 Y:00 P:6E SP:FB | JMP $C8CF
[PC: C8CF] OPCODE EA | A:00 X:00 Y:00 P:6E SP:FB | NOP
[PC: C8D0] OPCODE 38 | A:00 X:00 Y:00 P:6E SP:FB | SEC
[PC: C8D1] OPCODE B8 | A:00 X:00 Y:00 P:6F SP:FB | CLV
[PC: C8D2] OPCODE A9 | A:00 X:00 Y:00 P:2F SP:FB | LDA #$F8
[PC: C8D4] OPCODE 29 | A:F8 X:00 Y:00 P:AD SP:FB | AND #$EF
[PC: C8D6] OPCODE 90 | A:E8 X:00 Y:00 P:AD SP:FB | BCC #$0B
[PC: C8D8] OPCODE 10 | A:E8 X:00 Y:00 P:AD SP:FB | BPL #$09
[PC: C8DA] OPCODE C9 | A:E8 X:00 Y:00 P:AD SP:FB | CMP #$E8
[PC: C8DC] OPCODE D0 | A:E8 X:00 Y:00 P:2F SP:FB | BNE #$05
[PC: C8DE] OPCODE 70 | A:E8 X:00 Y:00 P:2F SP:FB | BVS #$03
[PC: C8E0] OPCODE 4C | A:E8 X:00 Y:00 P:2F SP:FB | JMP $C8E7
[PC: C8E7] OPCODE EA | A:E8 X:00 Y:00 P:2F SP:FB | NOP
[PC: C8E8] OPCODE 18 | A:E8 X:00 Y:00 P:2F SP:FB | CLC
[PC: C8E9] OPCODE 24 | A:E8 X:00 Y:00 P:2E SP:FB | BIT $01
[PC: C8EB] OPCODE A9 | A:E8 X:00 Y:00 P:EC SP:FB | LDA #$5F
[PC: C8ED] OPCODE 49 | A:5F X:00 Y:00 P:6C SP:FB | EOR #$AA
[PC: C8EF] OPCODE B0 | A:F5 X:00 Y:00 P:EC SP:FB | BCS #$0B
[PC: C8F1] OPCODE 10 | A:F5 X:00 Y:00 P:EC SP:FB | BPL #$09
[PC: C8F3] OPCODE C9 | A:F5 X:00 Y:00 P:EC SP:FB | CMP #$F5
[PC: C8F5] OPCODE D0 | A:F5 X:00 Y:00 P:6F SP:FB | BNE #$05
[PC: C8F7] OPCODE 50 | A:F5 X:00 Y:00 P:6F SP:FB | BVC #$03
[PC: C8F9] OPCODE 4C | A:F5 X:00 Y:00 P:6F SP:FB | JMP $C900
[PC: C900] OPCODE EA | A:F5 X:00 Y:00 P:6F SP:FB | NOP
[PC: C901] OPCODE 38 | A:F5 X:00 Y:00 P:6F SP:FB | SEC
[PC: C902] OPCODE B8 | A:F5 X:00 Y:00 P:6F SP:FB | CLV
[PC: C903] OPCODE A9 | A:F5 X:00 Y:00 P:2F SP:FB | LDA #$70
[PC: C905] OPCODE 49 | A:70 X:00 Y:00 P:2D SP:FB | EOR #$70
[PC: C907] OPCODE D0 | A:00 X:00 Y:00 P:2F SP:FB | BNE #$09
[PC: C909] OPCODE 70 | A:00 X:00 Y:00 P:2F SP:FB | BVS #$07
[PC: C90B] OPCODE 90 | A:00 X:00 Y:00 P:2F SP:FB | BCC #$05
[PC: C90D] OPCODE 30 | A:00 X:00 Y:00 P:2F SP:FB | BMI #$03
[PC: C90F] OPCODE 4C | A:00 X:00 Y:00 P:2F SP:FB | JMP $C916
[PC: C916] OPCODE EA | A:00 X:00 Y:00 P:2F SP:FB | NOP
[PC: C917] OPCODE 18 | A:00 X:00 Y:00 P:2F SP:FB | CLC
[PC: C918] OPCODE 24 | A:00 X:00 Y:00 P:2E SP:FB | BIT $01
[PC: C91A] OPCODE A9 | A:00 X:00 Y:00 P:EE SP:FB | LDA #$00
[PC: C91C] OPCODE 69 | A:00 X:00 Y:00 P:6E SP:FB | ADC #$69
[PC: C91E] OPCODE 30 | A:69 X:00 Y:00 P:2C SP:FB | BMI #$0B
[PC: C920] OPCODE B0 | A:69 X:00 Y:00 P:2C SP:FB | BCS #$09
[PC: C922] OPCODE C9 | A:69 X:00 Y:00 P:2C SP:FB | CMP #$69
[PC: C924] OPCODE D0 | A:69 X:00 Y:00 P:2F SP:FB | BNE #$05
[PC: C926] OPCODE 70 | A:69 X:00 Y:00 P:2F SP:FB | BVS #$03
[PC: C928] OPCODE 4C | A:69 X:00 Y:00 P:2F SP:FB | JMP $C92F
[PC: C92F] OPCODE EA | A:69 X:00 Y:00 P:2F SP:FB | NOP
[PC: C930] OPCODE 38 | A:69 X:00 Y:00 P:2F SP:FB | SEC
[PC: C931] OPCODE F8 | A:69 X:00 Y:00 P:2F SP:FB | SED
[PC: C932] OPCODE 24 | A:69 X:00 Y:00 P:2F SP:FB | BIT $01
[PC: C934] OPCODE A9 | A:69 X:00 Y:00 P:ED SP:FB | LDA #$01
[PC: C936] OPCODE 69 | A:01 X:00 Y:00 P:6D SP:FB | ADC #$69
[PC: C938] OPCODE 30 | A:6B X:00 Y:00 P:2C SP:FB | BMI #$0B
[PC: C93A] OPCODE B0 | A:6B X:00 Y:00 P:2C SP:FB | BCS #$09
[PC: C93C] OPCODE C9 | A:6B X:00 Y:00 P:2C SP:FB | CMP #$6B
[PC: C93E] OPCODE D0 | A:6B X:00 Y:00 P:2F SP:FB | BNE #$05
[PC: C940] OPCODE 70 | A:6B X:00 Y:00 P:2F SP:FB | BVS #$03
[PC: C942] OPCODE 4C | A:6B X:00 Y:00 P:2F SP:FB | JMP $C949
[PC: C949] OPCODE EA | A:6B X:00 Y:00 P:2F SP:FB | NOP
[PC: C94A] OPCODE D8 | A:6B X:00 Y:00 P:2F SP:FB | CLD
[PC: C94B] OPCODE 38 | A:6B X:00 Y:00 P:27 SP:FB | SEC
[PC: C94C] OPCODE B8 | A:6B X:00 Y:00 P:27 SP:FB | CLV
[PC: C94D] OPCODE A9 | A:6B X:00 Y:00 P:27 SP:FB | LDA #$7F
[PC: C94F] OPCODE 69 | A:7F X:00 Y:00 P:25 SP:FB | ADC #$7F
[PC: C951] OPCODE 10 | A:FF X:00 Y:00 P:E4 SP:FB | BPL #$0B
[PC: C953] OPCODE B0 | A:FF X:00 Y:00 P:E4 SP:FB | BCS #$09
[PC: C955] OPCODE C9 | A:FF X:00 Y:00 P:E4 SP:FB | CMP #$FF
[PC: C957] OPCODE D0 | A:FF X:00 Y:00 P:67 SP:FB | BNE #$05
[PC: C959] OPCODE 50 | A:FF X:00 Y:00 P:67 SP:FB | BVC #$03
[PC: C95B] OPCODE 4C | A:FF X:00 Y:00 P:67 SP:FB | JMP $C962
[PC: C962] OPCODE EA | A:FF X:00 Y:00 P:67 SP:FB | NOP
[PC: C963] OPCODE 18 | A:FF X:00 Y:00 P:67 SP:FB | CLC
[PC: C964] OPCODE 24 | A:FF X:00 Y:00 P:66 SP:FB | BIT $01
[PC: C966] OPCODE A9 | A:FF X:00 Y:00 P:E4 SP:FB | LDA #$7F
[PC: C968] OPCODE 69 | A:7F X:00 Y:00 P:64 SP:FB | ADC #$80
[PC: C96A] OPCODE 10 | A:FF X:00 Y:00 P:A4 SP:FB | BPL #$0B
[PC: C96C] OPCODE B0 | A:FF X:00 Y:00 P:A4 SP:FB | BCS #$09
[PC: C96E] OPCODE C9 | A:FF X:00 Y:00 P:A4 SP:FB | CMP #$FF
[PC: C970] OPCODE D0 | A:FF X:00 Y:00 P:27 SP:FB | BNE #$05
[PC: C972] OPCODE 70 | A:FF X:00 Y:00 P:27 SP:FB | BVS #$03
[PC: C974] OPCODE 4C | A:FF X:00 Y:00 P:27 SP:FB | JMP $C97B
[PC: C97B] OPCODE EA | A:FF X:00 Y:00 P:27 SP:FB | NOP
[PC: C97C] OPCODE 38 | A:FF X:00 Y:00 P:27 SP:FB | SEC
[PC: C97D] OPCODE B8 | A:FF X:00 Y:00 P:27 SP:FB | CLV
[PC: C97E] OPCODE A9 | A:FF X:00 Y:00 P:27 SP:FB | LDA #$7F
[PC: C980] OPCODE 69 | A:7F X:00 Y:00 P:25 SP:FB | ADC #$80
[PC: C982] OPCODE D0 | A:00 X:00 Y:00 P:27 SP:FB | BNE #$09
[PC: C984] OPCODE 30 | A:00 X:00 Y:00 P:27 SP:FB | BMI #$07
[PC: C986] OPCODE 70 | A:00 X:00 Y:00 P:27 SP:FB | BVS #$05
[PC: C988] OPCODE 90 | A:00 X:00 Y:00 P:27 SP:FB | BCC #$03
[PC: C98A] OPCODE 4C | A:00 X:00 Y:00 P:27 SP:FB | JMP $C991
[PC: C991] OPCODE EA | A:00 X:00 Y:00 P:27 SP:FB | NOP
[PC: C992] OPCODE 38 | A:00 X:00 Y:00 P:27 SP:FB | SEC
[PC: C993] OPCODE B8 | A:00 X:00 Y:00 P:27 SP:FB | CLV
[PC: C994] OPCODE A9 | A:00 X:00 Y:00 P:27 SP:FB | LDA #$9F
[PC: C996] OPCODE F0 | A:9F X:00 Y:00 P:A5 SP:FB | BEQ #$09
[PC: C998] OPCODE 10 | A:9F X:00 Y:00 P:A5 SP:FB | BPL #$07
[PC: C99A] OPCODE 70 | A:9F X:00 Y:00 P:A5 SP:FB | BVS #$05
[PC: C99C] OPCODE 90 | A:9F X:00 Y:00 P:A5 SP:FB | BCC #$03
[PC: C99E] OPCODE 4C | A:9F X:00 Y:00 P:A5 SP:FB | JMP $C9A5
[PC: C9A5] OPCODE EA | A:9F X:00 Y:00 P:A5 SP:FB | NOP
[PC: C9A6] OPCODE 18 | A:9F X:00 Y:00 P:A5 SP:FB | CLC
[PC: C9A7] OPCODE 24 | A:9F X:00 Y:00 P:A4 SP:FB | BIT $01
[PC: C9A9] OPCODE A9 | A:9F X:00 Y:00 P:E4 SP:FB | LDA #$00
[PC: C9AB] OPCODE D0 | A:00 X:00 Y:00 P:66 SP:FB | BNE #$09
[PC: C9AD] OPCODE 30 | A:00 X:00 Y:00 P:66 SP:FB | BMI #$07
[PC: C9AF] OPCODE 50 | A:00 X:00 Y:00 P:66 SP:FB | BVC #$05
[PC: C9B1] OPCODE B0 | A:00 X:00 Y:00 P:66 SP:FB | BCS #$03
[PC: C9B3] OPCODE 4C | A:00 X:00 Y:00 P:66 SP:FB | JMP $C9BA
[PC: C9BA] OPCODE EA | A:00 X:00 Y:00 P:66 SP:FB | NOP
[PC: C9BB] OPCODE 24 | A:00 X:00 Y:00 P:66 SP:FB | BIT $01
[PC: C9BD] OPCODE A9 | A:00 X:00 Y:00 P:E6 SP:FB | LDA #$40
[PC: C9BF] OPCODE C9 | A:40 X:00 Y:00 P:64 SP:FB | CMP #$40
[PC: C9C1] OPCODE 30 | A:40 X:00 Y:00 P:67 SP:FB | BMI #$09
[PC: C9C3] OPCODE 90 | A:40 X:00 Y:00 P:67 SP:FB | BCC #$07
[PC: C9C5] OPCODE D0 | A:40 X:00 Y:00 P:67 SP:FB | BNE #$05
[PC: C9C7] OPCODE 50 | A:40 X:00 Y:00 P:67 SP:FB | BVC #$03
[PC: C9C9] OPCODE 4C | A:40 X:00 Y:00 P:67 SP:FB | JMP $C9D0
[PC: C9D0] OPCODE EA | A:40 X:00 Y:00 P:67 SP:FB | NOP
[PC: C9D1] OPCODE B8 | A:40 X:00 Y:00 P:67 SP:FB | CLV
[PC: C9D2] OPCODE C9 | A:40 X:00 Y:00 P:27 SP:FB | CMP #$3F
[PC: C9D4] OPCODE F0 | A:40 X:00 Y:00 P:25 SP:FB | BEQ #$09
[PC: C9D6] OPCODE 30 | A:40 X:00 Y:00 P:25 SP:FB | BMI #$07
